SimTime,TTI,ActiveAgents,WaitingReroute,CompletedTrips,DynamicReroutes,BlackZones,RedZones,YellowZones,RouterRPS,SavedDuplicates,RouterLoad,GreenZones,VisitedNodes,RouteCycles,WaitingSpawn,RouteTimeMaxUs,RouteTimeAvgUs,RouterWaitTimeUs
25466,4.8735,199975,27637,906243,400390,21,2899,1374,745.8,3592200,0.9988,36000,63337.7,41655000.0,9576,140532,12186.7,2588051022
25475,5.47,199972,27628,906464,400818,21,2899,1375,714.5,3593353,0.9988,35921,61338.4,43845300.0,9614,122546,11629.2,2589235374
25485,5.7124,199977,27683,906689,401249,21,2902,1373,666.1,3594360,0.9988,36022,63202.5,46605200.0,9623,117405,11697.1,2590083049
25496,6.4101,199982,27614,906954,401789,21,2903,1376,681.1,3595569,0.9988,35877,65522.9,41524400.0,9650,158342,10667.3,2591193906
25506,5.8181,199974,27624,907178,402229,21,2904,1373,679.2,3596712,0.9988,35767,64862.4,45837600.0,9654,159957,12466.6,2592186711
25516,5.1974,199957,27526,907426,402754,22,2906,1373,693.2,3597936,0.9988,35613,65626.4,44947600.0,9673,139938,12196.7,2593231506
25537,6.215,199924,27427,907912,403675,22,2906,1374,734.4,3600179,0.9988,35730,61815.9,42546400.0,9720,116622,11338.8,2595219634
25547,5.3833,199959,27342,908128,404178,22,2902,1380,758.3,3601256,0.9988,35599,66357.6,43765200.0,9632,169906,11770.3,2596214030
25558,5.963,199899,27301,908387,404676,22,2902,1374,693.2,3602333,0.9988,35819,63998.2,46905700.0,9738,123878,12468.8,2597173047
25579,4.9162,199906,27309,908880,405617,22,2906,1368,749.6,3604570,0.9988,35977,64940.6,44656400.0,9738,140710,11445.6,2599284552
25588,5.9196,199912,27255,909113,406109,22,2905,1370,758.0,3605833,0.9988,35872,65340.1,41539000.0,9686,121537,10600.5,2600305853
25599,5.4181,199908,27246,909388,406609,22,2902,1373,690.5,3606766,0.9988,36162,58952.9,38811000.0,9823,152876,11582.3,2601217606
